Title,Date,Location,Description,Tags,latitude,longitude
Fundraising for ResoNations 2011,2011-07-24,"111 14th Street
New York, NY 10003
(40.73420096837262, -73.98926385518747), NY 10003.0",Fundraising for ResoNations 2011: An International Telematic Music Concert for Peace - United Nations/Nairobi. Telematic music is real-time performance via the internet. Concert for International Year for People of African Descent declared by UN High Commission for Human Rights.,Strengthening Communities,,
Reach Out and Read-Morris Heights Health Center,2011-02-28,"85 Burnside Avenue
Bronx, NY 10453
(40.85327655150609, -73.9058481060323), NY 10453.0","Reach Out and Read makes literacy promotion a standard and important part of pediatric primary care, so that children are able to grow up with access to books and are able cultivate a love of reading early on.",Education,,
Help Feed Your Community in Midtown East,2011-09-20,"619 Lexington Avenue
New York, NY 10022
(40.75867891119946, -73.9707368555664), NY 10022.0","Momentum has a hot lunch and pantry program open to all in need that operates on Tuesdays at Lexington Avenue and East 54th Street.  We have no volunteer groups at the lunch program and need volunteers to help with pantry, serving food and site set up.",Helping Neighbors in Need,40.758698,-73.970744
2011 Lexington Craft Fair,2011-05-01,"26 26 75th St Jackson Heights
NY,  11370
(40.75935377085989, -73.89184400040028), NY 11370.0","Help support the Lexington School and Center for the Deaf in running our very first craft fair!  We've advertised everywhere and are hoping for a huge turnout.  Help out with set-up, selling raffles, greeting attendees, assisting vendors, and breaking-down.  We'd love to have you help!  ASL welcome!",Strengthening Communities,40.761762,-73.893139
Volunteer Assistant for Artist,2011-07-11,"556 22nd Street
New York, NY 10011
(40.7476971546152, -74.00637234980138), NY 10011.0",The Chelsea Art Museum would like to get a volunteer assistant to work with an artist.,Strengthening Communities,,
"Volunteer Tutors, College Mentors, and Reading Partners!!",2011-10-01,"2050 Second Avenue
New York, NY 10029
(40.79013250049554, -73.94275604693821), NY 10029.0","East Harlem Tutorial Program is looking for volunteer tutors, reading partners for elementary school kids, and college mentors for our graduating seniors!!",Education,40.790263,-73.942688
Hike-A-Thon,2011-04-30,"124 Gale Place
Bronx, NY 10463
(40.88463029202243, -73.89251933209881), NY 10463.0",Show your support for Van Cortlandt Park by participating in a Hike with the Friends of Van Cortlandt Park,Strengthening Communities,40.884999,-73.892977
Supervise children in Highland Park Children's Garden,2011-04-02,"New York, NY",Garden with children and supervise activities on Saturdays.,Strengthening Communities,,
Clerical / Administrative Volunteers (Updated 9/23/11),2011-09-23,"135 50th Street
New York, NY 10020
(40.76073029550787, -73.98236448051341), NY 10020.0",Clerical volunteers are deeply appreciated for the work they put in with JBFCS. We are located in all 5 boroughs and Westchester. Just bring a positive attitude! See full description...,General,,
Event Hosting and Campaign Promotion UNICEF Tap Project Volunteer,2011-04-13,"125 Maiden Lane
New York, NY 10038
(40.706178049016415, -74.00602267255746), NY 10038.0",The U.S. Fund for UNICEF is inviting committed volunteers to promote the campaign in their communities in inspiring ways and to host UNICEF Tap Project fundraising events.,Environment,40.706397,-74.006341
3rd Annual FlyNY Kite Festival,2011-08-20,"New York, NY","On August 20th, 2011, join NYC Parks and the Cooper-Hewitt National Design Museum for the third annual FlyNY Kite Festival!",Strengthening Communities,,
IT Assistant,2011-07-07,"305 Seventh Avenue
New York, NY 10001-6008
(40.74678037991758, -73.99366420981637), NY nan","Assist the IT Department with the phones, creating key cards, and maintaining printer logs.",Strengthening Communities,,
Heart Gallery NYC Needs Your Help at our Info Table- Finding Homes for Kids!,2011-05-25,"New York, NY",Heart Gallery NYC needs volunteers to help out at our information table in Brooklyn. Our information table is set up at the exhibit at Atlantic Terminal.  Our goal is to raise awareness about children in need of loving families as well as to recruit prospective foster and adoptive parents!,Strengthening Communities,,
Help New Yorkers Affected by the Storm in Brooklyn ,2011-01-23,"253 Broadway
New York, NY 10007
(40.713255085581125, -74.00706885665824), NY 10007.0","Thousands of New Yorkers aren’t able to dig out the snow; many need help shoveling snow, bringing groceries into their home, or traveling to mass transit hubs.  If you’re an able-bodied New Yorker with a few minutes to spare, please find an opportunity in your neighborhood below.",Helping Neighbors in Need,40.713265,-74.007063
Public Relations Plan for Professionals,2011-06-06,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0",A public relations plan outlines an organization's objectives and creates a road map for conducting external communications. An organization will develop key messages to the public to influence opinions and actions.,Strengthening Communities,40.720942,-73.997929
Tank Internship Program,2011-08-15,"155 46th Street
New York, NY 10036
(40.758257159927325, -73.9843070160967), NY 10036.0","The Tank is currently looking for Fall 2011 in the following categories: development, marketing, volunteer coordinator and artistic liaison.",Strengthening Communities,,
Children's Recreation Projects with New York Cares,2011-08-01,"214 29th St
New York, NY 10001
(40.748256698961484, -73.99386680926813), NY 10001.0","Thank you for contacting New York Cares about our Children’s Recreation projects. Sports and fitness projects keep children healthy and active, arts and culture projects help them discover their creativity, and recreational outings expose them to the unique activities and culture of New York City.",Health,,
Early Childhood Education Outreach Volunteer,2011-09-16,"253 Broadway
New York, NY 10007
(40.713255085581125, -74.00706885665824), NY 10007.0",Volunteer to help NYC's youngest learners!,Strengthening Communities,40.713265,-74.007063
Volunteer for Summer Streets ,2011-08-06,"New York, NY","Summer Streets Needs Volunteers!   Be an invaluable part of Summer Streets, NYC’s best summer event!",Strengthening Communities,,
Accounting System Advice for Professionals,2011-06-05,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","An accounting or bookkeeping system is the foundation for a nonprofit’s success and effectiveness. This project requires that the organization has a minimally functional system, and the accounting professional will help improve or enhance it by offering advice and custom reports.",Strengthening Communities,40.720942,-73.997929
Graphic Designer ,2011-03-17,"New York, NY",To design outdoor signs and promotional flyers.,Strengthening Communities,,
Copywriting for Professionals,2011-06-05,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","The art of copywriting involves the strategic articulation of words to powerfully communicate a message to target audiences about an organization or specific topics such as an organization’s mission, programs, services or projects.",Strengthening Communities,40.720942,-73.997929
Cheerleaders Wanted!,2011-05-20,"305 Seventh Avenue
New York, NY 10001
(40.74678037991758, -73.99366420981637), NY 10001.0","Cheer on the hundreds of athletes with developmental disabilities who will be participating in the SUS Olympics on May 20th at Riverbank State Park.   Services for the UnderServed (SUS) needs assistance with running the event, including being timers, measuring throws, and awarding medals.",Helping Neighbors in Need,40.746817,-73.993655
Help inform people of recycling practices in Central Park,2011-09-18,"51 Chambers Street
New York, NY 10007
(40.71377351801845, -74.0053942535769), NY 10007.0","Tackle cancer, global warming, and pollution all in one on Sunday, September 18 from 8 am-12 pm at the 21st annual Komen NYC Race for the Cure in Central Park at the Naumberg Bandshell on the 72nd St Transverse.",Strengthening Communities,40.713797,-74.005494
"I, Leader LGBT Campaigner",2011-09-27,"1430 Broadway
New York, NY 10018
(40.7539853802881, -73.9869780025237), NY 10018.0","I, Leader LGBT Campaigners raise awareness about the I, Leader Workshop, a session on leadership and community activism training and the launch of a campaign that aims for safer schools.",General,40.754158,-73.986905
Fundraising Plan for Professionals,2011-06-05,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","A fundraising plan defines an organization’s fundraising goals, outlines prospective funding sources and includes the specific strategy and tactics to achieve the organization’s fundraising goals.",Strengthening Communities,40.720942,-73.997929
Donor Relations Strategy for Professionals,2011-06-05,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","Sustaining donors’ engagement with an organization is far more cost-effective than acquiring new donors. A donor relations strategy involves an effective structure for engaging existing donors in the organization’s work by timely and appropriate donor communication, and gift stewardship.",Strengthening Communities,40.720942,-73.997929
Registration,2011-06-05,"333 Seventh Avenue
New York, NY 10001
(40.747492275236596, -73.99319231774615), NY 10001.0","Help with registration on the day of the event( June 5, 2011).",General,40.747629,-73.99306
Deliver a Passover Package and Visit with a Senior,2011-04-10,"171 85th Street
New York, NY 10024
(40.786855600459035, -73.97516990427897), NY 10024.0","Brighten the day of a senior!   Deliver a Passover package and visit with an older person for about an hour.   Sunday, April 10, 2011  10:00 - 12:00   REGISTER ONLINE:  www.dorotusa.org",Helping Neighbors in Need,,
English Teacher,2011-06-18,"105 Mosco Street
New York, NY 10013
(40.714478163541, -73.99923576178304), NY 10013.0",English teacher needed to teach English as a Second Language.,Helping Neighbors in Need,40.714459,-73.999347
Brush of Kindness,2011-04-13,"530 133rd Street
Manhattan, NY 10027
(40.81810690053051, -73.95449058374143), NY 10027.0","We need voulnteers to help paint our afterschool program from 9am to 4pm starting April 13, 2011 to May 13, 2011. This project would be useful for someone who needs community services.",Strengthening Communities,,
Money Makes Sense,2011-09-19,"315 Hudson St
New York, NY 10013
(40.72636283816059, -74.00749200433894), NY 10013.0",Financial literacy for adults,Helping Neighbors in Need,40.72631,-74.00749
Volunteer Childcare Coordinator,2011-07-11,"210 102nd Street
New York, NY 10025
(40.798057840007175, -73.96809269871837), NY 10025.0",Provide childcare to groups of young children while their parents are in workshops and manage volunteer chilcare helpers,Strengthening Communities,,
Friendly Visiting - Visit Homebound Seniors,2011-07-12,"3001 37th Street
Brooklyn, NY 11224
(40.573273749723825, -74.00249064003097), NY 11224.0","Friendly Visiting is a fantastic program that pairs wonderful and dedicated people like you to visit the home-bound elderly in your area.  Visits take place once a week, based on your schedule and last for one hour.  With our busy schedules, what rewarding opportunity could be better than that?",Helping Neighbors in Need,,
Data Entry Assistant,2011-02-23,"1 Centre Street
New York, NY 10007
(40.71320112625938, -74.00400216853836), NY 10007.0","Duties include entering donations and pledges into database, creating thank you letters, updating donor information, updating reports, reconciling bank statements, and assisting the event coordinator.",Strengthening Communities,40.713001,-74.004181
Help Clean Up after Hurricane Irene in Brooklyn,2011-08-28,"253 Broadway
New York, NY 10007
(40.713255085581125, -74.00706885665824), NY 10007.0",Help clean up tree limbs and debris that came down during Hurricane Irene.,Emergency Preparedness,40.713265,-74.007063
B.A.C. Mentors,2011-03-08,"162 02 Hillside Avenue
Jamaica, NY 11432
(40.71311535449007, -73.79282099978928), NY 11432.0",Are you interested in working with youth to help them develop real life skills that will help better their lives and become excited about school. Then come be a B.A.C. Mentor.  We are looking for volunteers who can teach academic/career skills or life skills to high school students.,Education,40.70848,-73.800065
Pride Is Just Around the Corner! Get Involved Now!,2011-05-01,"76 11 37th Ave Jackson Heights
NY,  11372
(40.75163073936716, -73.88361254528269), NY 11372.0","Take part in city wide Pride events, marches and rallies! Volunteers are needed to represent Queens Pride House at events all through the month of June. Sign up for a training today!",Strengthening Communities,40.749193,-73.889702
Tree Care Workshop - Queens 3/20,2011-03-20,"New York, NY","Help water and care for the 70,000 new street trees that have been planted across New York City! Join the MillionTreesNYC Stewardship Corps and help keep New York City GREEN by coming to a free MillionTreesNYC stewardship workshop",Environment,,
NYC Hemophilia Walk 2011,2011-06-05,"358 Fifth Avenue
New York, NY 10001
(40.74863441421377, -73.98441493474019), NY 10001.0",A walk in Riverside Park on Sun. June 5th to raise funds for the NYCHC  and the National Hemophilia Foundation. The New York City Hemophilia Walk was the first and is still the largest of the Hemophilia Walks held by NHF across the country. Together these walks represent NHF’s largest events.,Strengthening Communities,40.748715,-73.984806
Help Us With Outreach,2011-06-22,"New York, NY","SMART Recovery NYC has a solid program for those suffering from addictive behavior problems. We use a range of cognitive-behavioral techniques to manage urges, modulate emotions and problem solve.",Education,,
Volunteer for Consumer Protection Law Project,2011-08-16,"7 Hanover Square
New York, NY 10004
(40.7043068313896, -74.00918226342714), NY 10004.0","The New York Legal Assistance (NYLAG), a non-profit law firm based in New York City, is recruiting volunteers for its Consumer Protection Law Project.",Helping Neighbors in Need,40.70447,-74.009406
Russian speaking volunteer needed to work with Seniors,2011-06-07,"Neptune Avenue Brooklyn
, NY 11224
(40.5776378129877, -73.99752264510208), NY 11224.0",A bi-weekly nutrition workshop for low-income seniors who reside in Brooklyn. The goal of these workshops is to focus on different aspects of nutrition each time and give seniors useful and practical information about how they can improve their daily diets.,Helping Neighbors in Need,,
Development and Welcome Desk Volunteer,2011-09-06,"32 Broadway
New York, NY 10004
(40.70604252290616, -74.01308532103428), NY 10004.0",NYAWC is seeking a volunteer to assist our busy development department and staff our administrative office’s welcome desk.,Strengthening Communities,40.706045,-74.013096
Administrative Intern,2011-08-15,"244 Madison Ave
New York, NY 10016
(40.75015809710567, -73.98126558278405), NY 10016.0",BCA is searching for an intern for its administrative office in New York City. Please see the full description for further details.,Strengthening Communities,40.750131,-73.981247
Clerical Support,2011-07-01,"1 Brooklyn
NY,  11211
(40.711589765255496, -73.95817675075642), NY 11211.0",General Office work clerical/research,General,,
Do you Love Books?,2011-02-18,"105 22nd Street
New York, NY 10010
(40.73943216627024, -73.98656260495757), NY 10010.0",Do you Love Working with Books? Help a Brooklyn elementary school sort and organize their books.,Strengthening Communities,,
IT website Coord/manager for New York Futsal (p/t),2011-04-13,"233 77th Street
New York, NY 10024
(40.78255158071745, -73.98091585032279), NY 10024.0","Scheduling, updating, organizing website for New York Futsal's camps, leagues, clinics and after school programs. Someone who is creative and likes making websites functional while looking great, while receiving the title as Website Coordinator/ Manager. Also, person can work mostly from home!",Strengthening Communities,,
Liver Life Walk 2011,2011-06-05,"39 Broadway
New York, NY 10006
(40.70625429589656, -74.01296358496856), NY 10006.0","Date: Sunday,  June 5, 2011: Manhattan – Battery Park",Strengthening Communities,40.706251,-74.012952
Tomorrow's Business Leaders: Teach the basics of business to NYC high schoolers,2011-08-08,"New York, NY",TBL is now seeking volunteers to apply for the Fall 2011-Spring 2012 academic year.,Education,,
Special Event Volunteers (Brooklyn),2011-06-25,"34 1
New York, NY 10003
(40.73194394755518, -73.98887214913032), NY 10003.0","PAL IS 218 Beacon 1st Annual Community Health & Education Fair.  The fair will be held Saturday, June 25, 2011 from 11 AM to 3 PM. The fair will include health and career information, community performers, local entrepreneurs, and children’s entertainment. We have multiple volunteer opportunities!",Health,,
Manhattan/Jackie Robinson Rec Center: Parent & Child Fitness Instructor,2011-09-16,"New York, NY","NYC Parks and Recreation seeks your participation to enrich our recreation facilities! Shape Up New York is a free fitness program for all ages and is looking for additional instructors at the Jackie Robinson Recreation Center (89 Bradhurst Ave., NY, NY 10031), accessible by A, B, C, D trains.",Health,,
One-Pager for Professionals,2011-06-05,"407 Broome Street
New York, NY 10013
(40.720962275372244, -73.99794973128115), NY 10013.0","A one-pager communicates concise overview information about an organization, its mission, and/or the programs it runs. This brief document provides key messaging about an organization, its specific initiatives, and its strategic direction to target audiences, stakeholders, or the media",Strengthening Communities,40.720942,-73.997929
Get the tools to volunteer for Recycling!,2011-05-11,"New York, NY",Recycling in the city has declined and we need YOU to help get NYC recycling again!,Environment,,
Latino and African American Youth Serving Program,2011-09-24,"657 New
York, NY 10014
(40.73358645135369, -74.01019960472792), NY 10014.0",The International Youth Leadership Institute supports active community leadership and global understanding through Seminars and Travel Programs in Africa and Latin America,Education,,
Teach Adults and Kids how to Ride Bikes!,2011-07-19,"475 Riverside Drive
New York City, NY 10115
(40.810551000428404, -73.96469400002803), NY 10115.0","Change a community!  Give the gift of self confidence, independence, health, and a smaller carbon footprint! Volunteer for Bike New York!",Health,40.811101,-73.964168
Help Raise College Awareness- Become a Middle School Mentor!,2011-03-29,"509 129th Street
New York, NY 10027
(40.81520669715875, -73.9551464649788), NY 10027.0",HEAF seeks mentors for our NYCService-funded Middle School Mentoring Initiative. Mentors will be placed with small groups of students at Renaissance Military Leadership Academy in Harlem in order to positively impact the students’ academic and emotional development in pursuit of college education.,Education,,
Mentor First-Generation College Students,2011-06-01,"40 WORTH ST
New York, NY 10013
(40.717284048272404, -74.00672711428712), NY 10013.0","Work one-on-one with a First-Generation College Student to develop a life plan and provide general career guidance.  Support, guide and advise students throughout their Fellowship.",Education,40.717363,-74.006897
Lifebeat Intern - General,2011-02-14,"1515 Broadway
New York, NY 10036
(40.75729656648954, -73.98573468333922), NY 10036.0","Lifebeat, a non-profit dedicated to HIV/AIDS prevention through music seeks TWO (2) dedicated interns with lots of energy to assist us this winter 2011 through summer 2011.",Strengthening Communities,40.757636,-73.985804
Riverbank Roller Skating Rink ,2011-05-14,"441 Manhattan Avenue
New York, NY 10026
(40.80669464442542, -73.95561864336202), NY 10026.0","Please joins us and the PAL kids for lunch, followed by roller skating in Riverside Park. It's a great way to spend a Saturday afternoon with a wonderful group of kids! Volunteers are kindly asked to pay for their expenses on the day.",General,40.806654,-73.955649
Assistant to Founder and Executive Director,2011-02-23,"1 Centre Street
New York, NY 10007
(40.71320112625938, -74.00400216853836), NY 10007.0",This is a good opportunity for someone who either has non-profit experience or who would like to learn the workings of a non-profit organization up close.,Strengthening Communities,40.713001,-74.004181
Volunteer For Housing Works' Design On A Dime 2011,2011-05-03,"123 18th St
New York, NY 10011
(40.74016732024642, -73.99568642245652), NY 10011.0","Design on a Dime is New York City’s most popular interior design benefit event. The seventh anniversary features more than 50 of the world’s top interior designers, who create room vignettes with merchandise which is donated and then sold to provide revenue for our client services",General,,
Garden Assistant Volunteer Program,2011-04-01,"40 2nd
New York, NY 10014
(40.72501393263116, -73.99023147176524), NY 10014.0",This volunteer opportunity allows you to work in a garden zone of your choice within Hudson River Park.  You’ll be working with a Lead Gardener on a regular basis to help maintain a specific area.,Strengthening Communities,,
Girl Scout Series - Brooklyn,2011-09-19,"225 Adelphi St
Brooklyn, NY 11205
(40.69083345992718, -73.97137424737471), NY 11205.0","We are New York City’s largest girls-only youth and leadership development program where girls learn to lead with courage, confidence and character to make their communities and the world  a better place.",Strengthening Communities,40.690765,-73.971376
Special Camp Fair 2012,2012-01-28,"116 16th St
New York, NY 10003
(40.73551330580631, -73.98834497200824), NY 10003.0",Volunteer at the annual Special Camp Fair helping families of children with disabilities find summer programs.,Strengthening Communities,,
Help Clean Up after Hurricane Irene in Far Rockaway,2011-09-01,"Shore Front Parkway Queens
, NY 11693
(40.58491927250253, -73.81086259712633), NY 11693.0",Help clean up tree limbs that came down during Hurricane Irene.,Emergency Preparedness,,
Education Nonprofit Seeks Recruitment Volunteers,2011-01-11,"150 Court
Brooklyn, NY 11201
(40.688807894259774, -73.99283183663935), NY 11201.0","Blue Engine recruits, selects, trains, and supports recent college graduates who dedicate one year of service to accelerate academic achievement in high-need public high schools. Since we are still in the early stages of growth, we need driven people to help us get the word out about Blue Engine.",Education,,
School Year Internship: Fall 2011 Program Intern,2011-08-11,"247 37 Street
Manhattan, NY 10018
(40.75350339905739, -73.99055236906513), NY 10018.0",Girls Write Now is accepting applications for volunteer or for-credit interns for Fall 2011. Interns will gain valuable experience with a fast-growing nationally recognized non-profit organization and also enhance his/her career opportunities in the literary and arts education professions.,Education,,
Do you want to make a Difference?   Volunteer at ClassWish.org!,2011-06-01,"401 7th avenue
New York, NY 10001
(40.75012728878244, -73.99124978216287), NY 10001.0",Recruiting outstanding volunteers to collaborate on the boldest nonprofit initiative we know. We are looking for passionate volunteers with exceptional skills to take initiative on different projects. This is an outstanding leadership opportunity in an innovative start-up nonprofit organization,Education,40.749794,-73.991486
SAG (Support & Gear) Vehicle Driver or Assistant Driver,2011-06-05,"333 Seventh Avenue
New York, NY 10001
(40.747492275236596, -73.99319231774615), NY 10001.0",Ensure that we have support and gear vehicle drivers ready to provide whatever help or tools a cyclist may need.,General,40.747629,-73.99306
Work With Visually Impaired Teens This Summer!,2011-07-03,"111 59th Street
New York, NY 10035
(40.64358204145642, -74.02133897318058), NY 10035.0",Are you 18 years of age or older?  We have opportunities during the day from 9-3 and in the evening  from  4-10. (There can be some flexibility during the evening shift for those who leave work at 5).   Contact us to schedule your interview today!,Helping Neighbors in Need,,
"New York's College Goal Sunday - February 5, 2012",2012-02-05,"New York, NY","New York’s College Goal Sunday is a service project of the New York State Financial Aid Administrators Association and the New York State Higher Education Services Corp., the state financial aid agency.",Education,,
American Diabetes Association - FERIA DE SALUD!,2011-08-27,"333 Seventh Av
New York, NY 10001
(40.747492275236596, -73.99319231774615), NY 10001.0","The American Diabetes Association's largest Latino event of the year – Feria de Salud, scheduled to take place on Saturday, August 27, 2011.",Health,40.747629,-73.99306
Business Partner- PENCIL Partnership Program,2011-09-01,"30 26th Street
New York, NY 10010
(40.74435364135434, -73.99034146691326), NY 10010.0","Through our renowned Partnership Program, PENCIL builds and supports customized relationships between business leaders and principals to inspire innovation and transform public schools.",Education,,
Volunteer Recruitment ,2011-04-12,"165 105th Street
New York, NY 10025
(40.79937645675807, -73.96519802101764), NY 10025.0","Recruit, supervise, and communicate with volunteers and interns in our office and all over the world.",Strengthening Communities,,
Memorial Sloan-Kettering Cancer Center,2011-08-30,"1250 First Avenue
New York, NY 10065
(40.76491214294413, -73.95810077216288), NY 10065.0",Help Cancer Patients with their treatement needs by donating blood or platelets.,Emergency Preparedness,40.764817,-73.958168
Fund Raising,2011-02-02,"260373 Bellerose
NY,  11426
(40.73704138495202, -73.72415699894628), NY 11426.0",Work with a team to do fundraising,Strengthening Communities,,
Volunteer Coordinator,2011-03-21,"277 New
York, NY 10113-0277
(40.741242999564804, -73.99834000029074), NY nan","Works with the co-producers and Front of House Manager to recruit, screen and organize volunteers for an array of opportunities with one of NYC's leading small opera companies.",Strengthening Communities,,
Deliver a Winter Package and Visit with an isolated Manhattan Senior,2011-01-30,"171 85th Street
New York, NY 10024
(40.786855600459035, -73.97516990427897), NY 10024.0","Warm up the day of a senior!   Deliver a package and visit with an older person for about an hour.    Sunday, Jan. 30, 2010   10:00 am - Noon   DOROT 171 West 85 Street (off Amsterdam Ave.)    Photo ID Required",Helping Neighbors in Need,,
Harm Reduction Adv,2011-05-04,"22 27th Street
New York, NY 10001
(40.74483028202985, -73.98955006352747), NY 10001.0","HRC seeks enthusiastic and committed volunteers to work with us in our training, overdose, and policy programs. Volunteer duties may include:",Strengthening Communities,,
JASA Home Delivered Meals Office Volunteer,2011-05-27,"132 31st Street
New York, NY 10001
(40.74849052268911, -73.99056629742063), NY 10001.0",Assist with office work and interact with staff and clients at Brooklyn Home Delivered Meals office.,Helping Neighbors in Need,,
